timestamp,raw_marlin
"2026-05-18T10:20:45.163Z","ok T:245.00 /245.00 B:85.00 /85.00 @:105 B@:49"
"2026-05-18T10:20:45.280Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:20:45.290Z","ok"
"2026-05-18T10:20:50.418Z","ok T:245.00 /245.00 B:85.00 /85.00 @:105 B@:49"
"2026-05-18T10:20:50.423Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:20:50.426Z","ok"
"2026-05-18T10:20:55.428Z","ok T:245.00 /245.00 B:85.00 /85.00 @:106 B@:49"
"2026-05-18T10:20:55.442Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:20:55.443Z","ok"
"2026-05-18T10:21:00.716Z","ok T:245.00 /245.00 B:85.02 /85.00 @:105 B@:46"
"2026-05-18T10:21:00.726Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:21:00.731Z","ok"
"2026-05-18T10:21:06.029Z","ok T:245.00 /245.00 B:85.00 /85.00 @:105 B@:49"
"2026-05-18T10:21:06.039Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:21:06.042Z","ok"
"2026-05-18T10:21:11.613Z","ok T:245.00 /245.00 B:85.00 /85.00 @:105 B@:49"
"2026-05-18T10:21:11.615Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:21:11.617Z","ok"
"2026-05-18T10:21:16.950Z","ok T:245.00 /245.00 B:85.01 /85.00 @:104 B@:47"
"2026-05-18T10:21:16.955Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:21:16.958Z","ok"
"2026-05-18T10:21:22.043Z","ok T:245.00 /245.00 B:85.00 /85.00 @:104 B@:49"
"2026-05-18T10:21:22.045Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:21:22.048Z","ok"
"2026-05-18T10:21:26.815Z","ok T:245.00 /245.00 B:84.99 /85.00 @:105 B@:51"
"2026-05-18T10:21:26.822Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:21:26.826Z","ok"
"2026-05-18T10:21:31.924Z","ok T:245.00 /245.00 B:84.99 /85.00 @:105 B@:50"
"2026-05-18T10:21:31.977Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:21:32.054Z","ok"
"2026-05-18T10:24:07.667Z","ok T:245.08 /245.00 B:85.00 /85.00 @:106 B@:48"
"2026-05-18T10:24:07.684Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:24:07.692Z","ok"
"2026-05-18T10:24:13.170Z","ok T:245.31 /245.00 B:85.00 /85.00 @:99 B@:48"
"2026-05-18T10:24:13.172Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:24:13.176Z","ok"
"2026-05-18T10:24:18.700Z","ok T:245.16 /245.00 B:85.00 /85.00 @:103 B@:48"
"2026-05-18T10:24:18.705Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:24:18.781Z","ok"
"2026-05-18T10:24:24.332Z","ok T:244.92 /245.00 B:85.00 /85.00 @:105 B@:48"
"2026-05-18T10:24:24.333Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:24:24.335Z","ok"
"2026-05-18T10:24:29.861Z","ok T:245.00 /245.00 B:85.00 /85.00 @:102 B@:47"
"2026-05-18T10:24:29.867Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:24:29.875Z","ok"
"2026-05-18T10:24:35.291Z","ok T:245.23 /245.00 B:84.99 /85.00 @:99 B@:49"
"2026-05-18T10:24:35.293Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:24:35.295Z","ok"
"2026-05-18T10:24:40.921Z","ok T:245.08 /245.00 B:85.00 /85.00 @:104 B@:48"
"2026-05-18T10:24:40.924Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:24:40.925Z","ok"
"2026-05-18T10:24:46.452Z","ok T:245.00 /245.00 B:84.99 /85.00 @:104 B@:50"
"2026-05-18T10:24:46.461Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:24:46.464Z","ok"
"2026-05-18T10:24:51.982Z","ok T:245.00 /245.00 B:85.00 /85.00 @:103 B@:49"
"2026-05-18T10:24:51.983Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:24:51.985Z","ok"
"2026-05-18T10:24:57.306Z","ok T:244.92 /245.00 B:85.00 /85.00 @:106 B@:48"
"2026-05-18T10:24:57.310Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:24:57.315Z","ok"
"2026-05-18T10:25:02.656Z","ok T:245.00 /245.00 B:85.01 /85.00 @:105 B@:47"
"2026-05-18T10:25:02.659Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:25:02.662Z","ok"
"2026-05-18T10:26:20.739Z","ok T:244.53 /245.00 B:84.99 /85.00 @:117 B@:50"
"2026-05-18T10:26:20.741Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:26:20.742Z","ok"
